"","gene_id","Chr","Start","End","Strand","Length","logFC","logCPM","LR","PValue","FDR"
"1","gene-LOC119066745","IV",81542160,81549385,"-",2985,-2.02525494026875,7.12530448671266,417.648026577802,7.93203239021261e-93,1.5743497888094e-88
"5","gene-LOC119078945","IV",24866936,24867942,"+",642,-2.15049146910788,6.12522762717533,295.914906295291,2.5573828351149e-66,1.01517869022721e-62
"6","gene-LOC119081144","III",53621506,53627243,"+",3149,-2.25673962454137,6.88564593845273,291.297941016672,2.59267963656985e-65,8.57658423777305e-62
"7","gene-LOC119083097","IV",1255529,1258859,"+",2399,-2.16363707598875,6.79379770677127,283.587968700705,1.24088928290926e-63,3.51845292674043e-60
"10","gene-LOC119068997","X",22989017,22996784,"+",2282,-2.06394494170212,8.90711679765648,277.608407754709,2.49329332974959e-62,4.94868860088699e-59
"11","gene-LOC119067424","X",38246209,38248023,"+",1517,-2.0009454113549,8.1035026486043,275.647890668668,6.66840995658672e-62,1.20322364380303e-58
"21","gene-LOC119071703","IV",55950493,55967282,"+",3708,-2.14284070996706,8.18190606353308,249.61733716812,3.14676186177597e-56,2.97413949678711e-53
"22","gene-LOC119080178","III",51800464,51802299,"-",1836,-2.10182079956211,7.32566880558641,247.690064951287,8.28009898497328e-56,7.47015475698862e-53
"26","gene-LOC119081947","X",56177141,56192215,"+",2566,-2.03430211486036,6.51730330580247,237.845093610105,1.16032583652501e-53,8.85774892436475e-51
"32","gene-LOC119085955","IV",71951517,71954944,"+",2315,-2.59816423289656,5.95393101133013,228.80084961873,1.08857961181281e-51,6.75191504226897e-49
"36","gene-LOC119068156","X",18773189,18785791,"-",1809,-2.3303241858759,6.91283461970053,226.17896186419,4.06141217587018e-51,2.23919191296309e-48
"43","gene-LOC119070982","IV",14001905,14010514,"-",2072,-2.01176830239346,6.52170679652043,221.666989643847,3.91540542410919e-50,1.80727829901672e-47
"48","gene-LOC119076961","III",38089041,38100941,"-",2041,-2.11675030683639,7.0693445801595,217.742694921769,2.81041653489655e-49,1.14400491397317e-46
"55","gene-LOC119067766","X",68292735,68332103,"-",1769,-2.75521976667424,4.85661046093835,213.219202963966,2.7261626559414e-48,9.83797752638637e-46
"56","gene-LOC119081867","III",33393705,33395978,"-",1654,-2.0347368203795,8.37507946016295,212.556315114646,3.80334722067465e-48,1.34801492207054e-45
"61","gene-LOC119083007","associated_contig_124",13417,14680,"+",821,-2.20903858444974,6.2881096771894,208.23051400665,3.34137409226724e-47,1.08720644234951e-44
"64","gene-LOC119077062","IV",62381726,62509066,"-",39727,-2.12265696491506,5.28200934479563,206.095401519634,9.76732903362057e-47,3.02909291655158e-44
"65","gene-LOC119080044","III",52087961,52089587,"-",1565,-2.03709639099959,5.12740640619218,205.949130955115,1.05121312605622e-46,3.20991971168674e-44
"71","gene-LOC119073523","III",22955701,23029313,"-",3714,-2.05894303050428,5.46970158356921,202.440385812187,6.12774692232606e-46,1.71300733682152e-43
"79","gene-LOC119085964","IV",71948548,71949768,"-",860,-2.38340251965423,5.63524704756671,198.775790345209,3.86354388711739e-45,9.70678722424127e-43
"101","gene-LOC119081829","III",35146706,35147982,"+",834,-2.05024852458298,6.32958426244928,189.051854547206,5.12027596718965e-43,1.00621027125525e-40
"105","gene-LOC119068617","X",24063704,24068463,"-",1560,-2.46368506868688,5.51143951777473,186.306758456554,2.03482280918864e-42,3.84639648731202e-40
"106","gene-LOC119066300","IV",73779298,73787502,"+",3434,-2.25483297892175,9.21892529699509,185.444975416471,3.13802662210162e-42,5.8758068297616e-40
"127","gene-LOC119075455","III",60647581,60649181,"+",1478,-2.15348010446559,5.18112138691972,179.4896032315,6.26414055041573e-41,9.78981587753161e-39
"133","gene-LOC119083009","X",55670061,55672137,"+",1781,-2.11658755453137,7.97151613163242,178.106174408859,1.25583076264129e-40,1.87411496066949e-38
"134","gene-LOC119071844","IV",52645331,52665775,"+",2452,-2.1155217738077,4.97306123140062,178.06912284452,1.27944448478902e-40,1.89510553239496e-38
"140","gene-LOC119067074","X",4847877,4854355,"-",3844,-2.07834754076197,7.8870490319113,177.574754043916,1.64047403115386e-40,2.32572346931013e-38
"144","gene-LOC119068446","X",47842930,47850671,"-",3810,-2.44157870754332,6.62319285626966,176.525740669967,2.77991917968658e-40,3.83165526933467e-38
"150","gene-LOC119086078","IV",71116603,71118709,"+",1570,-2.01026543413059,5.47554223911788,175.152971279502,5.54372611947753e-40,7.29631552646319e-38
"151","gene-LOC119081493","X",57112969,57115292,"+",1970,-2.20521390474806,8.76471721328819,175.150397537969,5.5509051012492e-40,7.29631552646319e-38
"163","gene-LOC119078878","IV",20774258,20801202,"-",6295,-2.0361573335029,9.53579403375186,172.729759329473,1.87493795539014e-39,2.28305328457567e-37
"164","gene-LOC119082116","X",56370554,56376525,"+",2075,-2.2394340204559,4.92498939382369,172.629950134452,1.97144329659247e-39,2.38592722870532e-37
"165","gene-LOC119085360","IV",11353837,11400500,"-",3662,-2.08602531939587,5.29089446732625,172.565505438409,2.03637822003834e-39,2.44957787341339e-37
"184","gene-LOC119079407","III",57535235,57538325,"-",1722,-2.14056903399475,6.28936063941376,168.701821004235,1.42137262928104e-38,1.53322847532447e-36
"185","gene-LOC119083098","IV",1251220,1253635,"-",2134,-2.31364065522154,10.097020872658,168.551869684143,1.53271121970635e-38,1.64439201560711e-36
"194","gene-LOC119069974","X",13249193,13259305,"-",2686,-2.04926161088605,5.8593105072027,165.789624761884,6.14922825303102e-38,6.29123104980205e-36
"203","gene-LOC119079531","III",36596993,36610515,"+",3551,-2.01509030362229,5.26500186375694,164.281219075539,1.31319163685052e-37,1.28395209892656e-35
"232","gene-LOC119080746","III",46097984,46099774,"-",1791,-2.06909668630099,4.58351893948108,157.97768104626,3.12980831119031e-36,2.67760497243557e-34
"251","gene-LOC119084861","X",53304727,53308577,"-",2417,-2.0932017128383,8.04851155796785,154.673369112738,1.65033883410302e-35,1.30501693941341e-33
"254","gene-LOC119081949","IV",43010429,43060796,"+",5354,-2.42989314278985,5.9833293666926,154.609876660997,1.703916734801e-35,1.33147005324135e-33
"263","gene-LOC119066128","IV",71668882,71714103,"+",3075,-2.58078074913596,4.73380690645999,152.765036434399,4.31145738580289e-35,3.25375688948349e-33
"268","gene-LOC119072691","IV",93798491,93805038,"+",2923,-2.02283833885458,5.23415107229621,152.175413874435,5.80080247990677e-35,4.29605700079065e-33
"269","gene-LOC119080043","III",52069563,52071189,"-",1565,-2.10124932265855,5.0943678586334,152.061642692091,6.14261809457663e-35,4.53229308331439e-33
"270","gene-LOC119078287","IV",36227306,36228565,"+",1063,-2.36800437219969,4.74713461712272,152.036064619361,6.2221974187277e-35,4.57400645803361e-33
"292","gene-LOC119085006","III",14676272,14679217,"-",2093,-2.1380006560899,5.60482561414029,148.237520644115,4.20930597799893e-34,2.86117483052475e-32
"332","gene-LOC119080209","III",51560835,51564193,"-",2786,-2.92039393990875,7.03212046226882,142.423589812077,7.8570943203341e-33,4.6972171105419e-31
"342","gene-LOC119071755","IV",51864101,51866250,"-",1770,-2.02017901181509,4.80313242399693,140.524865256405,2.04380437259383e-32,1.18612366044568e-30
"351","gene-LOC119071034","IV",13608307,13611244,"-",1574,-2.10434592386196,5.24315060406493,139.673745127727,3.13731927468537e-32,1.77406019840328e-30
"361","gene-LOC119080731","III",46983259,46986211,"-",1719,-2.05507956907043,5.07828800663629,138.050382954218,7.10510668525969e-32,3.90643095537491e-30
"387","gene-LOC119079063","III",36980626,36990217,"+",2766,-2.41444978536436,4.81982010673127,135.560877229404,2.48917687224601e-31,1.27661970440152e-29
"404","gene-LOC119079329","III",58686273,58702811,"-",6068,-2.42562212047985,4.25027525663398,133.847194441339,5.90065498928448e-31,2.89891584721085e-29
"457","gene-LOC119070959","IV",14313724,14323860,"+",1233,-2.45637404750218,7.65557466644075,127.643743107549,1.3431219841673e-29,5.83332278812966e-28
"462","gene-LOC119079029","IV",26446592,26456893,"-",3014,-2.19294369288655,5.60527441373125,127.122434818111,1.74659150761153e-29,7.50353858075188e-28
"482","gene-LOC119078295","IV",36131217,36133507,"+",1722,-2.05027429346632,4.14358063701484,125.654038925756,3.66044516667718e-29,1.50731360307487e-27
"531","gene-LOC119080251","III",51295869,51297675,"-",1745,-2.13005436963729,7.29446888179857,121.171354471902,3.50511072491106e-28,1.31015890146958e-26
"545","gene-LOC119080791","III",46177781,46191097,"+",1129,-2.32849036740105,4.36601485279948,120.418238197176,5.12355224416345e-28,1.8659131182047e-26
"547","gene-LOC119079421","III",57416239,57417732,"-",1077,-2.1257846946549,4.95748469165907,120.318371077298,5.38808359284e-28,1.95507647441843e-26
"551","gene-LOC119069228","X",9159333,9161380,"-",1580,-2.10636828887457,4.27296910093103,119.983141768178,6.38005778418386e-28,2.29821028857498e-26
"564","gene-LOC119082049","IV",41434905,41436880,"+",1913,-2.21214506547751,5.56735347661797,119.281014891472,9.0895736179725e-28,3.19875633279288e-26
"574","gene-LOC119073453","III",24925813,24928782,"-",2816,-2.46099781527943,3.96580745593625,118.479185595106,1.36175663317212e-27,4.70873617686417e-26
"576","gene-LOC119069596","X",62438960,62493975,"-",3609,-2.25855890603694,5.30689493745394,118.438813150371,1.38975764368565e-27,4.78887321386679e-26
"660","gene-LOC119084846","X",53295475,53325271,"-",4227,-2.1423728744901,5.08267631804904,112.762128926284,2.43278482610663e-26,7.31604745887338e-25
"763","gene-LOC119073291","III",26554909,26556302,"-",701,-2.00433303343008,4.03060678648215,106.398987779775,6.02885249674435e-25,1.5682918002016e-23
"859","gene-LOC119083128","IV",2706850,2725305,"+",4903,-2.2795541910429,4.51990878206462,101.104565333716,8.7253556559356e-24,2.01607519277078e-22
"863","gene-LOC119084646","IV",96199872,96202995,"+",1638,-2.06041456971228,4.182104486917,100.863712899664,9.85352684695247e-24,2.26619699719945e-22
"876","gene-LOC119069188","X",9050183,9056216,"+",3055,-2.30616717946419,8.18994737449582,100.532218676918,1.16486624790497e-23,2.63929969045867e-22
"914","gene-LOC119086068","IV",72453436,72454566,"+",1070,-2.03610176439141,3.84634924591272,98.937945560151,2.60539096105132e-23,5.65774614824362e-22
"950","gene-LOC119069682","X",62037373,62042704,"+",2084,-2.2429297452473,3.30449476609256,97.0938414196224,6.61182300885605e-23,1.38138382189237e-21
"958","gene-LOC119069487","X",39706369,39720166,"-",2876,-2.03573928388342,4.6012058153833,96.6377182658374,8.32471768191388e-23,1.72472856524663e-21
"969","gene-LOC119068222","X",19864677,19871592,"-",1760,-2.52228896733152,4.40054717880725,96.1742684528066,1.05203366776851e-22,2.15487763032709e-21
"970","gene-LOC119080307","associated_contig_251",17700,19279,"-",1110,-2.47238771389685,4.85175689169531,96.1343808183703,1.07344407783686e-22,2.19646577906248e-21
"1021","gene-LOC119071323","IV",67562733,67563963,"+",867,-2.43882795555635,7.9134126544505,93.9423879667635,3.24842568767075e-22,6.31486317814781e-21
"1037","gene-LOC119073630","III",22201435,22202529,"+",934,-2.06894758876783,5.99652199979809,92.8931098832639,5.5196329440723e-22,1.05644816464751e-20
"1046","gene-LOC119068279","X",20938721,20940998,"-",2278,-2.11078563230631,3.9532043059761,92.6835315106779,6.13620675936599e-22,1.16435403212138e-20
"1063","gene-LOC119070385","X",46382535,46398521,"+",3140,-2.26208853079189,4.43138007852337,92.0684801150595,8.37283950397938e-22,1.56335012676371e-20
"1099","gene-LOC119068989","X",23183004,23189264,"-",1864,-2.10721805919403,3.87254635554236,90.3006686261838,2.04583452318613e-21,3.69478831812541e-20
"1106","gene-LOC119071093","IV",13029906,13030908,"-",785,-2.04972400452393,3.53811916161999,90.0767362158742,2.29099756398052e-21,4.11136705695165e-20
"1131","gene-LOC119082743","IV",3790525,3800832,"-",4285,-2.63042790345904,10.1982932273409,88.9796688027077,3.98891098143183e-21,7.0001684491122e-20
"1232","gene-LOC119070046","X",15300964,15313890,"+",1579,-2.1158842880351,2.9921535910203,85.0203087113126,2.9531620935514e-20,4.75765919097469e-19
"1267","gene-LOC119084825","X",53339283,53364054,"+",2602,-2.61207149458911,2.89942159213923,83.5616163816408,6.17606594398127e-20,9.67502421911131e-19
"1376","gene-LOC119082308","X",56924515,56926367,"-",1780,-2.04460002719578,7.73984372690833,78.5093527643973,7.96203810908997e-19,1.14847770631699e-17
"1420","gene-LOC119069061","X",11107411,11109248,"+",1561,-2.12620129478678,5.37169501988995,76.6724090903848,2.01803144454998e-18,2.82069634587521e-17
"1451","gene-LOC119085048","III",15557485,15558877,"-",958,-2.82048517896381,2.89599843478495,75.6174745704105,3.44300962954009e-18,4.70963853391535e-17
"1516","gene-LOC119072520","IV",30847909,30916533,"+",1956,-2.09313903884217,5.64602067412517,73.930391120327,8.09208187511114e-18,1.05944354259371e-16
"1842","gene-LOC119070740","IV",16949569,16970324,"-",1461,-2.78332322412606,2.59220231106462,63.6032011842169,1.52181674912222e-15,1.6397947251128e-14
"1914","gene-LOC119069223","X",10224092,10226100,"+",1663,-2.1934410742664,5.6370633957585,62.0516527297971,3.34565456186203e-15,3.46941231681492e-14
"2073","gene-LOC119081351","III",31923852,31929369,"-",4359,-2.17099810509391,5.9251239077585,58.4859035625829,2.04752737213458e-14,1.96041115688023e-13
"2546","gene-LOC119085752","X",50741974,50743559,"-",1535,-3.58882215780844,1.40299970443377,47.8258525086301,4.6580904962667e-12,3.63133464924986e-11
"3163","gene-LOC119083283","X",55530696,55539092,"+",1874,-2.1022683241634,4.23113539478667,37.1832682936192,1.07532467907201e-09,6.74772185590301e-09
"3474","gene-LOC119072346","IV",32916389,32918680,"-",1739,-2.38035729405761,5.37671510711942,33.2317301648845,8.18047307982822e-09,4.6737486956946e-08
"3606","gene-LOC119071903","IV",53947630,53977341,"-",6771,-2.40117944963913,8.02178649740815,31.3905190145983,2.11008774439245e-08,1.16142599974213e-07
"4340","gene-LOC119066999","X",4465262,4512667,"-",4803,-2.01248666141105,2.36630334144348,23.6563806717648,1.15163432175774e-06,5.26673687056396e-06
"4449","gene-LOC119085901","IV",83031117,83031827,"+",711,-2.28961369516165,-0.304990587107687,22.6457253565472,1.94793108422675e-06,8.69016321864073e-06
"5138","gene-LOC119082819","IV",38748373,38749543,"-",1104,-2.58485908300277,-1.4443420269358,17.1085135264539,3.53036967072263e-05,0.000136377534496891
"5202","gene-LOC119082176","III",29244025,29245038,"-",729,-3.09891652047578,1.25811453638855,16.7273485033573,4.3154408796083e-05,0.000164653730446877
"6340","gene-LOC119083431","associated_contig_54",16234,17845,"-",1295,-2.85438448028089,-1.38678788578354,10.9260295506753,0.000948224933374219,0.00296851237817216
"6471","gene-LOC119078523","IV",21635063,21637056,"-",1450,-2.68592973624963,-3.29796022987151,10.4312715198015,0.00123899414484255,0.00380027133160794
"7080","gene-LOC119069870","X",6306340,6307260,"+",668,-2.03317042237209,-2.88981083474657,8.08600394533084,0.00446084125030557,0.0125054769966193
"7164","gene-LOC119067533","X",31829662,31831448,"-",1389,-2.35497364098348,-2.50837298988739,7.83930736199064,0.0051122190941473,0.0141635014769173
"7179","gene-LOC119070893","IV",15194448,15198465,"+",2866,-3.52018708703812,-3.99287704979506,7.79307004815249,0.0052447002024885,0.0145001824235954
"7317","gene-LOC119067825","X",64131503,64136190,"-",2741,-2.98242119963363,-3.41157693018529,7.35689326658669,0.00668061249663365,0.0181217434513031
"7472","gene-LOC119083655","III",68002069,68004425,"+",2230,-2.20098952314428,-3.18722545417988,6.91433935485685,0.00855072272667325,0.0227134294270624
"7619","gene-LOC119069568","X",29871903,29873153,"-",1189,-3.33414242754815,-4.03942205423606,6.57860388650756,0.0103211813993943,0.0268873616505023
"7988","gene-LOC119078875","IV",20754754,20756703,"-",1550,-3.54063956391498,-3.99200274168219,5.71663522716454,0.0168049051652222,0.0417556031195957
"8089","gene-LOC119077157","IV",61683851,61684463,"-",613,-3.36880891346304,-4.03764728386542,5.467396557077,0.0193744661039068,0.0475391770590114
"8145","gene-LOC119066240","IV",74701422,74702966,"+",1384,-2.22685588205723,-3.50126501083978,5.39909995935684,0.020147138691403,0.0490952005828074
"8165","gene-LOC119082847","IV",37935672,37938028,"+",695,-2.89852239579692,-4.13565745539837,5.33973249229942,0.0208446715550259,0.0506705500335767
"8289","gene-LOC119077152","IV",61670722,61672227,"-",666,-3.10092538093476,-4.08839954205199,5.01888309303759,0.0250723364779276,0.0600356779362899
"8362","gene-LOC119085514","IV",8651075,8652108,"-",843,-2.23268989234398,-3.71104313028287,4.86221024171326,0.0274511471217032,0.0651579009891851
"8495","gene-LOC119066779","IV",81119425,81126254,"+",1277,-2.90333198927577,-4.1353906985008,4.58121168857049,0.0323243497190427,0.0755236837226086
"8609","gene-LOC119076860","III",38592581,38595222,"-",1842,-2.86707294781531,-4.13709577485689,4.39842819220356,0.0359720699838564,0.0829334005156907
"8715","gene-LOC119072562","IV",90168350,90175322,"+",1464,-2.02879173225429,-3.78535898673213,4.19898237449798,0.0404482449793392,0.0921189634365949
